KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1671,"Kota Palembang, Sumatera Selatan",Jenjang Pendidikan SMP,7.526
1672,"Kota Prabumulih, Sumatera Selatan",Jenjang Pendidikan SMP,8.6262
1673,"Kota Pagar Alam, Sumatera Selatan",Jenjang Pendidikan SMP,9.7561
1674,"Kota Lubuk Linggau, Sumatera Selatan",Jenjang Pendidikan SMP,15.8974
1701,"Kab. Bengkulu Selatan, Bengkulu",Jenjang Pendidikan SMP,17.4603
1702,"Kab. Rejang Lebong, Bengkulu",Jenjang Pendidikan SMP,16.4063
1703,"Kab. Bengkulu Utara, Bengkulu",Jenjang Pendidikan SMP,17.1322
1704,"Kab. Kaur, Bengkulu",Jenjang Pendidikan SMP,10
1705,"Kab. Seluma, Bengkulu",Jenjang Pendidikan SMP,16.0221
1706,"Kab. Muko-muko, Bengkulu",Jenjang Pendidikan SMP,11.6022
1707,"Kab. Lebong, Bengkulu",Jenjang Pendidikan SMP,26.0204
1708,"Kab. Kepahiang, Bengkulu",Jenjang Pendidikan SMP,14.7541
1709,"Kab. Bengkulu Tengah, Bengkulu",Jenjang Pendidikan SMP,5.9361
1771,"Kota Bengkulu, Bengkulu",Jenjang Pendidikan SMP,16.1972
1801,"Kab. Lampung Barat, Lampung",Jenjang Pendidikan SMP,22.6374
1802,"Kab. Tanggamus, Lampung",Jenjang Pendidikan SMP,10.5341
1803,"Kab. Lampung Selatan, Lampung",Jenjang Pendidikan SMP,8.9686
1804,"Kab. Lampung Timur, Lampung",Jenjang Pendidikan SMP,10.951
1805,"Kab. Lampung Tengah, Lampung",Jenjang Pendidikan SMP,7.7717
1806,"Kab. Lampung Utara, Lampung",Jenjang Pendidikan SMP,18.2628
1807,"Kab. Way Kanan, Lampung",Jenjang Pendidikan SMP,24.2336
1808,"Kab. Tulang Bawang, Lampung",Jenjang Pendidikan SMP,12.9393
1809,"Kab. Pesawaran, Lampung",Jenjang Pendidikan SMP,15.009
1810,"Kab. Pringsewu, Lampung",Jenjang Pendidikan SMP,17.8744
1811,"Kab. Mesuji, Lampung",Jenjang Pendidikan SMP,20.2658
1812,"Kab. Tulang Bawang Barat, Lampung",Jenjang Pendidikan SMP,19.9546
1813,"Kab. Pesisir Barat, Lampung",Jenjang Pendidikan SMP,14.7368
1871,"Kota Bandar Lampung, Lampung",Jenjang Pendidikan SMP,3.5714
1872,"Kota Metro, Lampung",Jenjang Pendidikan SMP,7.0461
1901,"Kab. Bangka, Bangka Belitung",Jenjang Pendidikan SMP,2.6258
1902,"Kab. Belitung, Bangka Belitung",Jenjang Pendidikan SMP,7.6336
1903,"Kab. Bangka Barat, Bangka Belitung",Jenjang Pendidikan SMP,1.8868
1904,"Kab. Bangka Tengah, Bangka Belitung",Jenjang Pendidikan SMP,4.5082
1905,"Kab. Bangka Selatan, Bangka Belitung",Jenjang Pendidikan SMP,8.9404
1906,"Kab. Belitung Timur, Bangka Belitung",Jenjang Pendidikan SMP,1.9139
1971,"Kota Pangkalpinang, Bangka Belitung",Jenjang Pendidikan SMP,8.3333
2101,"Kab. Karimun, Kepulauan Riau",Jenjang Pendidikan SMP,4.5024
2102,"Kab. Bintan, Kepulauan Riau",Jenjang Pendidikan SMP,14.8699
2103,"Kab. Natuna, Kepulauan Riau",Jenjang Pendidikan SMP,4.3716
2104,"Kab. Lingga, Kepulauan Riau",Jenjang Pendidikan SMP,15.0289
2105,"Kab. Kepulauan Anambas, Kepulauan Riau",Jenjang Pendidikan SMP,0.7407
2171,"Kota Batam, Kepulauan Riau",Jenjang Pendidikan SMP,2.1834
2172,"Kota Tanjungpinang, Kepulauan Riau",Jenjang Pendidikan SMP,6.25
3101,"Kab. Kepulauan Seribu, D.K.I. Jakarta",Jenjang Pendidikan SMP,43.9024
3171,"Kota Jakarta Selatan, D.K.I. Jakarta",Jenjang Pendidikan SMP,2.903
