KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
6308,Hulu Sungai Utara,Jenjang Pendidikan SD,2.3217
6302,Kota Baru,Jenjang Pendidikan SD,7.2542
6309,Tabalong,Jenjang Pendidikan SD,9.0675
6301,Tanah Laut,Jenjang Pendidikan SD,18.1006
6310,Tanah Bumbu,Jenjang Pendidikan SD,6.6308
6305,Tapin,Jenjang Pendidikan SD,3.6477
6204,Barito Selatan,Jenjang Pendidikan SD,6.8352
6212,Barito Timur,Jenjang Pendidikan SD,7.3355
6205,Barito Utara,Jenjang Pendidikan SD,8.0512
6211,Gunung Mas,Jenjang Pendidikan SD,10.4895
6203,Kapuas,Jenjang Pendidikan SD,14.1678
6201,Kotawaringin Barat,Jenjang Pendidikan SD,5.3464
6209,Katingan,Jenjang Pendidikan SD,2.6576
6202,Kotawaringin Timur,Jenjang Pendidikan SD,6.701
6207,Lamandau,Jenjang Pendidikan SD,7.5145
6213,Murung Raya,Jenjang Pendidikan SD,8.8702
6210,Pulang Pisau,Jenjang Pendidikan SD,14.6514
6208,Seruyan,Jenjang Pendidikan SD,5.8921
6206,Sukamara,Jenjang Pendidikan SD,5.8496
1801,Lampung Barat,Jenjang Pendidikan SD,15.1418
1804,Lampung Timur,Jenjang Pendidikan SD,15.2515
1803,Lampung Selatan,Jenjang Pendidikan SD,9.0655
1805,Lampung Tengah,Jenjang Pendidikan SD,12.1872
1806,Lampung Utara,Jenjang Pendidikan SD,19.6683
1802,Tanggamus,Jenjang Pendidikan SD,13.8691
1808,Tulang Bawang,Jenjang Pendidikan SD,17.4622
1807,Way Kanan,Jenjang Pendidikan SD,22.9694
8171,Kota Ambon,Jenjang Pendidikan SD,9.7064
8104,Buru,Jenjang Pendidikan SD,11.4914
8105,Kepulauan Aru,Jenjang Pendidikan SD,6.7352
8102,Maluku Tenggara,Jenjang Pendidikan SD,9.8083
8103,Maluku Tengah,Jenjang Pendidikan SD,8.4579
8101,Maluku Tenggara Barat,Jenjang Pendidikan SD,22.4515
8106,Seram Bagian Barat,Jenjang Pendidikan SD,18.4134
8107,Seram Bagian Timur,Jenjang Pendidikan SD,8.6823
8201,Halmahera Barat,Jenjang Pendidikan SD,11.3225
8206,Halmahera Timur,Jenjang Pendidikan SD,21.1878
8204,Halmahera Selatan,Jenjang Pendidikan SD,24.5873
8202,Halmahera Tengah,Jenjang Pendidikan SD,12.6087
8205,halmahera Utara,Jenjang Pendidikan SD,17.5266
8203,Kepulauan Sula,Jenjang Pendidikan SD,18.7307
5206,Bima,Jenjang Pendidikan SD,19.3449
5205,Dompu,Jenjang Pendidikan SD,21.6362
5201,Lombok Barat,Jenjang Pendidikan SD,6.9151
5203,Lombok Timur,Jenjang Pendidikan SD,12.1434
5202,Lombok Tengah,Jenjang Pendidikan SD,17.0641
5207,Sumbawa Barat,Jenjang Pendidikan SD,4.1609
5204,Sumbawa,Jenjang Pendidikan SD,11.8967
5307,Alor,Jenjang Pendidikan SD,35.2723
5306,Belu,Jenjang Pendidikan SD,12.4659
5311,Ende,Jenjang Pendidikan SD,18.1453
5309,Flores Timur,Jenjang Pendidikan SD,15.456
6402,Kutai Barat,Jenjang Pendidikan SD,3.7429
5303,Kupang,Jenjang Pendidikan SD,23.2093
5308,Lembata,Jenjang Pendidikan SD,32.3232
5313,Manggarai,Jenjang Pendidikan SD,13.1506
5315,Manggarai Barat,Jenjang Pendidikan SD,25.2982
5312,Ngada,Jenjang Pendidikan SD,21.8274
5314,Rote-Ndao,Jenjang Pendidikan SD,20.4934
5301,Sumba Barat,Jenjang Pendidikan SD,32.9167
5302,Sumba Timur,Jenjang Pendidikan SD,14.8601
5304,Timor Tengah Selatan,Jenjang Pendidikan SD,20.2271
5305,Timor Tengah Utara,Jenjang Pendidikan SD,22.7117
9415,Asmat,Jenjang Pendidikan SD,9.5588
9413,Boven Digoel,Jenjang Pendidikan SD,10.1106
9409,Biak Numfor,Jenjang Pendidikan SD,10.0271
9420,Keerom,Jenjang Pendidikan SD,9.7156
9401,Merauke,Jenjang Pendidikan SD,11.5877
9412,Mimika,Jenjang Pendidikan SD,11.4504
9414,Mappi,Jenjang Pendidikan SD,21.6949
9404,Nabire,Jenjang Pendidikan SD,13.9381
9410,Paniai,Jenjang Pendidikan SD,23.4234
9417,Pegunungan Bintang,Jenjang Pendidikan SD,2.7624
9411,Puncak Jaya,Jenjang Pendidikan SD,3.8217
9419,Sarmi,Jenjang Pendidikan SD,14.6402
9427,Supiori,Jenjang Pendidikan SD,11.5226
9418,Tolikara,Jenjang Pendidikan SD,1.0526
9426,Waropen,Jenjang Pendidikan SD,26.4808
9416,Yahukimo,Jenjang Pendidikan SD,5.7273
1408,Bengkalis,Jenjang Pendidikan SD,6.9035
1403,Indragiri Hilir,Jenjang Pendidikan SD,10.1461
1402,Indragiri Hulu,Jenjang Pendidikan SD,9.2437
1406,Kampar,Jenjang Pendidikan SD,11.5112
1401,Kuantan Singingi,Jenjang Pendidikan SD,3.9979
1404,Pelalawan,Jenjang Pendidikan SD,3.0581
1407,Rokan Hulu,Jenjang Pendidikan SD,9.0819
1409,Rokan Hilir,Jenjang Pendidikan SD,11.7851
1405,Siak,Jenjang Pendidikan SD,6.8045
1307,Agam,Jenjang Pendidikan SD,5.4804
1311,Dharmasraya,Jenjang Pendidikan SD,7.6019
1301,Kepulauan Mentawai,Jenjang Pendidikan SD,10.7539
1308,Lima Puluh Koto,Jenjang Pendidikan SD,7.9536
1312,Pasaman Barat,Jenjang Pendidikan SD,11.5541
1309,Pasaman,Jenjang Pendidikan SD,5.9474
1306,Padang Pariaman,Jenjang Pendidikan SD,4.639
1302,Pesisir Selatan,Jenjang Pendidikan SD,6.9178
1310,Solok Selatan,Jenjang Pendidikan SD,11.0169
1372,Kota Solok,Jenjang Pendidikan SD,5.3371
1303,Solok,Jenjang Pendidikan SD,10.3379
1305,Tanah Datar,Jenjang Pendidikan SD,3.4912
7311,Bone,Jenjang Pendidikan SD,7.5926
7310,Barru,Jenjang Pendidikan SD,5.7409
7303,Bantaeng,Jenjang Pendidikan SD,19.8529
7302,Bulukumba,Jenjang Pendidikan SD,10.6276
7316,Enrekang,Jenjang Pendidikan SD,28.689
7306,Gowa,Jenjang Pendidikan SD,14.1506
7304,Jeneponto,Jenjang Pendidikan SD,20.5597
7325,Luwu Timur,Jenjang Pendidikan SD,5.4915
7322,Luwu Utara,Jenjang Pendidikan SD,16.6192
7317,Luwu,Jenjang Pendidikan SD,20.2
7308,Maros,Jenjang Pendidikan SD,7.3001
7315,Pinrang,Jenjang Pendidikan SD,8.4615
7309,Pangkajene Kepulauan,Jenjang Pendidikan SD,11.9247
7307,Sinjai,Jenjang Pendidikan SD,13.9928
7312,Soppeng,Jenjang Pendidikan SD,6.4832
7314,Sidenreng Rappang,Jenjang Pendidikan SD,25.6739
7305,Takalar,Jenjang Pendidikan SD,10.8426
7318,Tana Toraja,Jenjang Pendidikan SD,13.8304
7313,Wajo,Jenjang Pendidikan SD,11.4228
7406,Bombana,Jenjang Pendidikan SD,24
7401,Buton,Jenjang Pendidikan SD,9.7006
7404,Kolaka,Jenjang Pendidikan SD,18.3824
7405,Konawe Selatan,Jenjang Pendidikan SD,24.2317
7411,Kolaka Timur,Jenjang Pendidikan SD,14.2094
7408,Kolaka Utara,Jenjang Pendidikan SD,23.7918
7402,Muna,Jenjang Pendidikan SD,16.6232
7407,Wakatobi,Jenjang Pendidikan SD,9.1033
1607,Banyuasin,Jenjang Pendidikan SD,12.9953
1604,Lahat,Jenjang Pendidikan SD,7.3617
1606,Musi Banyuasin,Jenjang Pendidikan SD,9.6514
1603,Muara Enim,Jenjang Pendidikan SD,4.371
1605,Musi Rawas,Jenjang Pendidikan SD,9.4713
1602,Ogan Komering Ilir,Jenjang Pendidikan SD,5.8858
1610,Ogan Ilir,Jenjang Pendidikan SD,20.745
1608,Ogan Komering Ulu Selatan,Jenjang Pendidikan SD,15.6184
1609,Ogan Komering Ulu Timur,Jenjang Pendidikan SD,9.4198
1601,Ogan Komering Ulu,Jenjang Pendidikan SD,6.5977
7603,Mamasa,Jenjang Pendidikan SD,43.5236
7601,Majene,Jenjang Pendidikan SD,8.5209
7604,Mamuju,Jenjang Pendidikan SD,15.9799
7605,Mamuju Utara,Jenjang Pendidikan SD,14.6965
7602,Polewali Mandar,Jenjang Pendidikan SD,12.7328
7202,Banggai,Jenjang Pendidikan SD,16.5626
7201,Banggai Kepulauan,Jenjang Pendidikan SD,21.2786
7207,Buol,Jenjang Pendidikan SD,17.9463
7205,Donggala,Jenjang Pendidikan SD,11.5152
7203,Morowali,Jenjang Pendidikan SD,12.381
7204,Poso,Jenjang Pendidikan SD,11.0175
7206,Tolitoli,Jenjang Pendidikan SD,13.8223
7209,Tojo Una-Una,Jenjang Pendidikan SD,12.0789
1208,Asahan,Jenjang Pendidikan SD,8.0211
1210,Dairi,Jenjang Pendidikan SD,3.12
1212,Deli Serdang,Jenjang Pendidikan SD,5.8594
1215,Humbang Hasudutan,Jenjang Pendidikan SD,11.7264
1211,Karo,Jenjang Pendidikan SD,10.7707
1213,Langkat,Jenjang Pendidikan SD,6.4697
1222,Labuhan Batu Selatan,Jenjang Pendidikan SD,9.2233
1202,Mandailing Natal,Jenjang Pendidikan SD,8.3475
1201,Nias,Jenjang Pendidikan SD,14.876
1214,Nias Selatan,Jenjang Pendidikan SD,25.6619
1216,Pakpak Bharat,Jenjang Pendidikan SD,3.8929
1217,Samosir,Jenjang Pendidikan SD,6.6315
1218,Serdang Bedagai,Jenjang Pendidikan SD,8.9599
1209,Simalungun,Jenjang Pendidikan SD,7.8498
1206,Toba Samosir,Jenjang Pendidikan SD,4.9518
1203,Tapanuli Selatan,Jenjang Pendidikan SD,9.3061
1204,Tapanuli Tengah,Jenjang Pendidikan SD,14.975
1205,Tapanuli Utara,Jenjang Pendidikan SD,5.443
7101,Bolaang Mongondow,Jenjang Pendidikan SD,21.2121
7104,Kepulauan Talaud,Jenjang Pendidikan SD,13.4615
7102,Minahasa,Jenjang Pendidikan SD,12.9047
7105,Minahasa Selatan,Jenjang Pendidikan SD,6.4201
3402,Bantul,Jenjang Pendidikan SD,3.1393
3403,Gunung Kidul,Jenjang Pendidikan SD,4.0488
3401,Kulon Progo,Jenjang Pendidikan SD,3.3317
3404,Sleman,Jenjang Pendidikan SD,1.3008
7211,Banggai Laut,Jenjang Pendidikan SD,29.3358
1219,Batubara,Jenjang Pendidikan SD,5.8082
1709,Bengkulu Tengah,Jenjang Pendidikan SD,7.0444
2102,Bintan,Jenjang Pendidikan SD,10.2999
7110,Bolaang Mongondow Selatan,Jenjang Pendidikan SD,19.457
7111,Bolaang Mongondow Timur,Jenjang Pendidikan SD,13.5338
7107,Bolaang Mongondow Utara,Jenjang Pendidikan SD,9.2896
8109,Buru Selatan,Jenjang Pendidikan SD,16.8459
7415,Buton Selatan,Jenjang Pendidikan SD,31.7308
7414,Buton Tengah,Jenjang Pendidikan SD,19.2661
7409,Buton Utara,Jenjang Pendidikan SD,6.5737
9436,Deiyai,Jenjang Pendidikan SD,7.0707
9434,Dogiyai,Jenjang Pendidikan SD,31.7191
1611,Empat Lawang,Jenjang Pendidikan SD,6.5098
9435,Intan Jaya,Jenjang Pendidikan SD,9.5506
9402,Jaya Wijaya,Jenjang Pendidikan SD,16.6237
6111,Kayong Utara,Jenjang Pendidikan SD,5.6787
7103,Kep. Sangihe,Jenjang Pendidikan SD,12.0623
2105,Kepulauan Anambas,Jenjang Pendidikan SD,9.1811
1410,Kepulauan Meranti,Jenjang Pendidikan SD,11.6625
8207,Kepulauan Morotai,Jenjang Pendidikan SD,8.3333
7301,Kepulauan Selayar,Jenjang Pendidikan SD,5.9406
3101,Kepulauan Seribu,Jenjang Pendidikan SD,12.5
7108,Kepulauan Sitaro,Jenjang Pendidikan SD,10.8661
9408,Kepulauan Yapen,Jenjang Pendidikan SD,35.0242
7403,Konawe,Jenjang Pendidikan SD,23.4266
7412,Konawe Kepulauan,Jenjang Pendidikan SD,15
7410,Konawe Utara,Jenjang Pendidikan SD,8.5484
6471,Kota Balikpapan,Jenjang Pendidikan SD,1.5455
1171,Kota Banda Aceh,Jenjang Pendidikan SD,2.6379
1871,Kota Bandar Lampung,Jenjang Pendidikan SD,3.9432
