KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
9411,"Kab. Puncak Jaya, Papua",Jenjang Pendidikan SMA,7.1429
1221,"Kab. Padang Lawas, Sumatera Utara",Jenjang Pendidikan SMA,7.1429
7414,"Kab. Buton Tengah, Sulawesi Tenggara",Jenjang Pendidikan SMA,7.1429
3304,"Kab. Banjarnegara, Jawa Tengah",Jenjang Pendidikan SMA,7.113
3214,"Kab. Purwakarta, Jawa Barat",Jenjang Pendidikan SMA,7.0755
3210,"Kab. Majalengka, Jawa Barat",Jenjang Pendidikan SMA,7.0664
3202,"Kab. Sukabumi, Jawa Barat",Jenjang Pendidikan SMA,7.0313
3524,"Kab. Lamongan, Jawa Timur",Jenjang Pendidikan SMA,7.0201
7311,"Kab. Bone, Sulawesi Selatan",Jenjang Pendidikan SMA,6.9579
1709,"Kab. Bengkulu Tengah, Bengkulu",Jenjang Pendidikan SMA,6.7961
1806,"Kab. Lampung Utara, Lampung",Jenjang Pendidikan SMA,6.7834
5316,"Kab. Sumba Tengah, Nusa Tenggara Timur",Jenjang Pendidikan SMA,6.7797
3518,"Kab. Nganjuk, Jawa Timur",Jenjang Pendidikan SMA,6.7308
1607,"Kab. Banyuasin, Sumatera Selatan",Jenjang Pendidikan SMA,6.7227
8272,"Kota Tidore Kepulauan, Maluku Utara",Jenjang Pendidikan SMA,6.7039
3519,"Kab. Madiun, Jawa Timur",Jenjang Pendidikan SMA,6.6946
5319,"Kab. Manggarai Timur, Nusa Tenggara Timur",Jenjang Pendidikan SMA,6.6456
1105,"Kab. Aceh Timur, Aceh",Jenjang Pendidikan SMA,6.5714
1406,"Kab. Kampar, Riau",Jenjang Pendidikan SMA,6.5053
6208,"Kab. Seruyan, Kalimantan Tengah",Jenjang Pendidikan SMA,6.4815
7212,"Kab. Morowali Utara, Sulawesi Tengah",Jenjang Pendidikan SMA,6.422
5311,"Kab. Ende, Nusa Tenggara Timur",Jenjang Pendidikan SMA,6.3898
5271,"Kota Mataram, Nusa Tenggara Barat",Jenjang Pendidikan SMA,6.3889
7103,"Kab. Kep. Sangihe, Sulawesi Utara",Jenjang Pendidikan SMA,6.338
7102,"Kab. Minahasa, Sulawesi Utara",Jenjang Pendidikan SMA,6.3361
3301,"Kab. Cilacap, Jawa Tengah",Jenjang Pendidikan SMA,6.3333
1708,"Kab. Kepahiang, Bengkulu",Jenjang Pendidikan SMA,6.3063
3216,"Kab. Bekasi, Jawa Barat",Jenjang Pendidikan SMA,6.2674
1171,"Kota Banda Aceh, Aceh",Jenjang Pendidikan SMA,6.2651
3217,"Kab. Bandung Barat, Jawa Barat",Jenjang Pendidikan SMA,6.2598
6111,"Kab. Kayong Utara, Kalimantan Barat",Jenjang Pendidikan SMA,6.25
9109,"Kab. Tambrauw, Papua Barat",Jenjang Pendidikan SMA,6.25
3521,"Kab. Ngawi, Jawa Timur",Jenjang Pendidikan SMA,6.25
6211,"Kab. Gunung Mas, Kalimantan Tengah",Jenjang Pendidikan SMA,6.25
9106,"Kab. Sorong Selatan, Papua Barat",Jenjang Pendidikan SMA,6.25
3324,"Kab. Kendal, Jawa Tengah",Jenjang Pendidikan SMA,6.25
3314,"Kab. Sragen, Jawa Tengah",Jenjang Pendidikan SMA,6.2338
1271,"Kota Sibolga, Sumatera Utara",Jenjang Pendidikan SMA,6.2016
3277,"Kota Cimahi, Jawa Barat",Jenjang Pendidikan SMA,6.1856
1471,"Kota Pekanbaru, Riau",Jenjang Pendidikan SMA,6.1844
7204,"Kab. Poso, Sulawesi Tengah",Jenjang Pendidikan SMA,6.1404
1808,"Kab. Tulang Bawang, Lampung",Jenjang Pendidikan SMA,6.1033
1602,"Kab. Ogan Komering Ilir, Sumatera Selatan",Jenjang Pendidikan SMA,6.0738
8104,"Kab. Buru, Maluku",Jenjang Pendidikan SMA,6.0606
1803,"Kab. Lampung Selatan, Lampung",Jenjang Pendidikan SMA,6.0311
3511,"Kab. Bondowoso, Jawa Timur",Jenjang Pendidikan SMA,6.0241
1703,"Kab. Bengkulu Utara, Bengkulu",Jenjang Pendidikan SMA,6.0185
8208,"Kab. Pulau Taliabu, Maluku Utara",Jenjang Pendidikan SMA,6
6305,"Kab. Tapin, Kalimantan Selatan",Jenjang Pendidikan SMA,5.8824
7303,"Kab. Bantaeng, Sulawesi Selatan",Jenjang Pendidikan SMA,5.8824
