KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1310,"Kab. Solok Selatan, Sumatera Barat",Jenjang Pendidikan SLB,0
1702,"Kab. Rejang Lebong, Bengkulu",Jenjang Pendidikan SLB,0
3315,"Kab. Grobogan, Jawa Tengah",Jenjang Pendidikan SLB,0
6108,"Kab. Kapuas Hulu, Kalimantan Barat",Jenjang Pendidikan SLB,0
8201,"Kab. Halmahera Barat, Maluku Utara",Jenjang Pendidikan SLB,0
7203,"Kab. Morowali, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1104,"Kab. Aceh Tenggara, Aceh",Jenjang Pendidikan SLB,0
1503,"Kab. Sarolangun, Jambi",Jenjang Pendidikan SLB,0
3373,"Kota Salatiga, Jawa Tengah",Jenjang Pendidikan SLB,0
6203,"Kab. Kapuas, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5303,"Kab. Kupang, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7102,"Kab. Minahasa, Sulawesi Utara",Jenjang Pendidikan SLB,0
1902,"Kab. Belitung, Bangka Belitung",Jenjang Pendidikan SLB,0
3514,"Kab. Pasuruan, Jawa Timur",Jenjang Pendidikan SLB,0
2171,"Kota Batam, Kepulauan Riau",Jenjang Pendidikan SLB,0
1401,"Kab. Kuantan Singingi, Riau",Jenjang Pendidikan SLB,0
1377,"Kota Pariaman, Sumatera Barat",Jenjang Pendidikan SLB,0
6110,"Kab. Melawi, Kalimantan Barat",Jenjang Pendidikan SLB,0
7209,"Kab. Tojo Una-Una, Sulawesi Tengah",Jenjang Pendidikan SLB,0
1202,"Kab. Mandailing Natal, Sumatera Utara",Jenjang Pendidikan SLB,0
1113,"Kab. Gayo Lues, Aceh",Jenjang Pendidikan SLB,0
1572,"Kota Sungai Penuh, Jambi",Jenjang Pendidikan SLB,0
6210,"Kab. Pulang Pisau, Kalimantan Tengah",Jenjang Pendidikan SLB,0
5314,"Kab. Rote-Ndao, Nusa Tenggara Timur",Jenjang Pendidikan SLB,0
7174,"Kota Kotamobagu, Sulawesi Utara",Jenjang Pendidikan SLB,0
3604,"Kab. Serang, Banten",Jenjang Pendidikan SLB,0
3529,"Kab. Sumenep, Jawa Timur",Jenjang Pendidikan SLB,0
1806,"Kab. Lampung Utara, Lampung",Jenjang Pendidikan SLB,0
1473,"Kota Dumai, Riau",Jenjang Pendidikan SLB,0
7307,"Kab. Sinjai, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1604,"Kab. Lahat, Sumatera Selatan",Jenjang Pendidikan SLB,0
3327,"Kab. Pemalang, Jawa Tengah",Jenjang Pendidikan SLB,0
6172,"Kota Singkawang, Kalimantan Barat",Jenjang Pendidikan SLB,0
1205,"Kab. Tapanuli Utara, Sumatera Utara",Jenjang Pendidikan SLB,0
5103,"Kab. Badung, Bali",Jenjang Pendidikan SLB,0
6403,"Kab. Kutai Kartanegara, Kalimantan Timur",Jenjang Pendidikan SLB,0
